Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000233,2013-12-01,2013-12-01,,Quentin Tarantino,Reservoir Dogs,1963-03-27
2,nm0000217,2013-12-01,2013-12-01,,Martin Scorsese,Taxi Driver,1942-11-17
3,nm0634240,2013-12-01,2013-12-01,,Christopher Nolan,Dunkirk,1970-07-30
4,nm0000338,2013-12-01,2013-12-01,,Francis Ford Coppola,Apocalypse Now,1939-04-07
5,nm0000142,2013-12-01,2013-12-01,,Clint Eastwood,Million Dollar Baby,1930-05-31
6,nm0000399,2013-12-01,2013-12-01,,David Fincher,Se7en,1962-08-28
7,nm0000487,2013-12-01,2013-12-01,,Ang Lee,Wo hu cang long,1954-10-23
8,nm0001392,2013-12-01,2013-12-01,,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
9,nm0000631,2013-12-01,2013-12-01,,Ridley Scott,The Martian,1937-11-30
10,nm0000116,2013-12-01,2013-12-01,,James Cameron,Avatar,1954-08-16
11,nm0000040,2013-12-01,2013-12-01,,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
12,nm0000229,2013-12-01,2013-12-01,,Steven Spielberg,Schindler's List,1946-12-18
13,nm0000941,2013-12-01,2013-12-01,,Kathryn Bigelow,The Hurt Locker,1951-11-27
14,nm0000965,2013-12-01,2013-12-01,,Danny Boyle,127 Hours,1956-10-20
15,nm0000165,2013-12-01,2013-12-01,,Ron Howard,Arrested Development,1954-03-01
16,nm0001054,2013-12-01,2013-12-01,,Joel Coen,The Ballad of Buster Scruggs,1954-11-29
17,nm0001053,2013-12-01,2013-12-01,,Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
18,nm0005222,2013-12-01,2013-12-01,,Sam Mendes,Skyfall,1965-08-01
19,nm0000255,2013-12-01,2013-12-01,,Ben Affleck,Argo,1972-08-15
20,nm0000709,2013-12-01,2013-12-01,,Robert Zemeckis,Back to the Future,1951-05-14
21,nm0000126,2013-12-01,2013-12-01,,Kevin Costner,The Postman,1955-01-18
22,nm0000080,2013-12-01,2013-12-01,,Orson Welles,Citizen Kane,1915-05-06
23,nm0000095,2013-12-01,2013-12-01,,Woody Allen,Manhattan,1935-12-01
24,nm0936404,2013-12-01,2013-12-01,,Robert Wise,West Side Story,1914-09-10
25,nm0000697,2013-12-01,2013-12-01,,Billy Wilder,The Apartment,1906-06-22
26,nm0000033,2013-12-01,2013-12-01,,Alfred Hitchcock,Psycho,1899-08-13
27,nm0000122,2013-12-01,2013-12-01,,Charles Chaplin,The Great Dictator,1889-04-16
28,nm0000406,2013-12-01,2013-12-01,,John Ford,The Quiet Man,1894-02-01
29,nm0000186,2013-12-01,2013-12-01,,David Lynch,Twin Peaks,1946-01-20
30,nm0000591,2013-12-01,2013-12-01,,Roman Polanski,Chinatown,1933-08-18
31,nm0000517,2013-12-01,2013-12-01,,Terrence Malick,Days of Heaven,1943-11-30
32,nm0000318,2013-12-01,2013-12-01,,Tim Burton,Edward Scissorhands,1958-08-25
33,nm0000184,2013-12-01,2013-12-01,,George Lucas,Star Wars,1944-05-14
34,nm0893659,2013-12-01,2013-12-01,,Gore Verbinski,Rango,1964-03-16
35,nm0000881,2013-12-01,2013-12-01,,Michael Bay,Armageddon,1965-02-17
36,nm0001741,2013-12-01,2013-12-01,,Bryan Singer,X-Men,1965-09-17
37,nm0814085,2013-12-01,2013-12-01,,Stephen Sommers,G.I. Joe: The Rise of Cobra,1962-03-20
38,nm0269463,2013-12-01,2013-12-01,,Jon Favreau,Chef,1966-10-19
39,nm0000600,2013-12-01,2013-12-01,,Sam Raimi,Spider-Man,1959-10-23
40,nm0083348,2013-12-01,2013-12-01,,Brad Bird,The Incredibles,1957-09-24
41,nm0000154,2013-12-01,2013-12-01,,Mel Gibson,Braveheart,1956-01-03
42,nm0001752,2013-12-01,2013-12-01,,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
43,nm0000041,2013-12-01,2013-12-01,,Akira Kurosawa,Ran,1910-03-23
44,nm0339030,2013-12-01,2013-12-01,,Paul Greengrass,United 93,1955-08-13
45,nm0001104,2013-12-01,2013-12-01,,Frank Darabont,The Green Mile,1959-01-28
46,nm0001466,2013-12-01,2013-12-01,,Sergio Leone,Once Upon a Time in America,1929-01-03
47,nm0923736,2013-12-01,2013-12-01,,Joss Whedon,Buffy the Vampire Slayer,1964-06-23
48,nm0009190,2013-12-01,2013-12-01,,J.J. Abrams,Lost,1966-06-27
49,nm0891216,2013-12-01,2013-12-01,,Matthew Vaughn,Kick-Ass,1971-03-07
50,nm0000759,2013-12-01,2013-12-01,,Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
51,nm0027572,2013-12-01,2013-12-01,,Wes Anderson,Fantastic Mr. Fox,1969-05-01
52,nm0000361,2013-12-01,2013-12-01,,Brian De Palma,Dressed to Kill,1940-09-11
53,nm0000490,2013-12-01,2013-12-01,,Spike Lee,Do the Right Thing,1957-03-20
54,nm0751102,2013-12-01,2013-12-01,,David O. Russell,American Hustle,1958-08-20
55,nm0393799,2013-12-01,2013-12-01,,Tom Hooper,The Danish Girl,1972-10-05
56,nm0000118,2013-12-01,2013-12-01,,John Carpenter,Escape from New York,1948-01-16
57,nm0371890,2013-12-01,2013-12-01,,Michel Hazanavicius,The Artist,1967-03-29
58,nm0005069,2013-12-01,2013-12-01,,Spike Jonze,Her,1969-10-22
59,nm0718646,2013-12-01,2013-12-01,,Jason Reitman,Up in the Air,1977-10-19
60,nm0000370,2013-12-01,2013-12-01,,Walt Disney,Snow White and the Seven Dwarfs,1901-12-05
61,nm0594503,2013-12-01,2013-12-01,,Hayao Miyazaki,Sen to Chihiro no kamikakushi,1941-01-05
62,nm0942367,2013-12-01,2013-12-01,,Edgar Wright,Shaun of the Dead,1974-04-18
63,nm0000036,2013-12-01,2013-12-01,,Buster Keaton,The General,1895-10-04
64,nm0190859,2013-12-01,2013-12-01,,Alfonso Cuarón,Gravity,1961-11-28
65,nm0004716,2013-12-01,2013-12-01,,Darren Aronofsky,Pi,1969-02-12
66,nm0796117,2013-12-01,2013-12-01,,M. Night Shyamalan,Lady in the Water,1970-08-06
67,nm2588606,2013-12-01,2013-12-01,,Steve McQueen,12 Years a Slave,1969-10-09
68,nm0000416,2013-12-01,2013-12-01,,Terry Gilliam,Brazil,1940-11-22
69,nm0001068,2013-12-01,2013-12-01,,Sofia Coppola,The Godfather: Part III,1971-05-14
70,nm0001675,2013-12-01,2013-12-01,,Robert Rodriguez,El mariachi,1968-06-20
71,nm1989536,2013-12-01,2013-12-01,,Marc Webb,(500) Days of Summer,1974-08-31
72,nm0001837,2013-12-01,2013-12-01,,Peter Weir,Master and Commander: The Far Side of the World,1944-08-21
73,nm0000231,2013-12-01,2013-12-01,,Oliver Stone,JFK,1946-09-15
74,nm0000005,2013-12-01,2013-12-01,,Ingmar Bergman,Smultronstället,1918-07-14
75,nm0000576,2013-12-01,2013-12-01,,Sean Penn,Mystic River,1960-08-17
76,nm0680846,2013-12-01,2013-12-01,,Todd Phillips,Joker,1970-12-20
77,nm0001008,2013-12-01,2013-12-01,,Frank Capra,It's a Wonderful Life,1897-05-18
78,nm0003620,2013-12-01,2013-12-01,,Kevin Smith,Clerks,1970-08-02
79,nm0000127,2013-12-11,2013-12-11,,Wes Craven,A Nightmare on Elm Street,1939-08-02
80,nm0629334,2013-12-11,2013-12-11,,McG,Charlie's Angels: Full Throttle,1968-08-09
81,nm0001486,2013-12-11,2013-12-11,,Sidney Lumet,12 Angry Men,1924-06-25
82,nm0001243,2013-12-11,2013-12-11,,William Friedkin,The French Connection,1935-08-29
83,nm0005124,2013-12-11,2013-12-11,,John Lasseter,Toy Story 2,1957-01-12
84,nm0000520,2013-12-11,2013-12-11,,Michael Mann,The Insider,1943-02-05
85,nm0005363,2013-12-11,2013-12-11,,Guy Ritchie,Sherlock Holmes,1968-09-10
86,nm0001532,2013-12-11,2013-12-11,,John McTiernan,Die Hard,1951-01-08
87,nm0001081,2013-12-11,2013-12-11,,Cameron Crowe,Almost Famous,1957-07-13
88,nm0001149,2013-12-11,2013-12-11,,Richard Donner,Superman,1930-04-24
89,nm0005366,2013-12-11,2013-12-11,,Jay Roach,Trumbo,1957-06-14
90,nm0868219,2013-12-11,2013-12-11,,Guillermo del Toro,El laberinto del fauno,1964-10-09
91,nm0000455,2013-12-11,2013-12-11,,John Hughes,"Planes, Trains & Automobiles",1950-02-18
92,nm0000343,2013-12-11,2013-12-11,,David Cronenberg,The Fly,1943-03-15
